iter	Passed	Remaining
867	1860	282
868	1863	280
869	1865	278
870	1868	276
871	1871	274
872	1874	272
873	1877	270
874	1880	268
875	1882	266
876	1885	264
877	1888	262
878	1892	260
879	1895	258
880	1898	256
881	1901	254
882	1904	252
883	1907	250
884	1910	248
885	1913	246
886	1916	244
887	1920	242
888	1922	240
889	1926	238
890	1928	235
891	1931	233
892	1934	231
893	1937	229
894	1940	227
895	1943	225
896	1946	223
897	1949	221
898	1952	219
899	1955	217
900	1958	215
901	1961	213
902	1965	211
903	1969	209
904	1972	207
905	1975	205
906	1978	202
907	1981	200
908	1985	198
909	1987	196
910	1991	194
911	1994	192
912	1997	190
913	1999	188
914	2002	186
915	2005	183
916	2008	181
917	2011	179
918	2014	177
919	2017	175
920	2020	173
921	2023	171
922	2026	169
923	2029	166
924	2032	164
925	2035	162
926	2038	160
927	2041	158
928	2044	156
929	2046	154
930	2049	151
931	2053	149
932	2056	147
933	2059	145
934	2062	143
935	2066	141
936	2069	139
937	2071	136
938	2073	134
939	2075	132
940	2077	130
941	2079	128
942	2080	125
943	2082	123
944	2084	121
945	2085	119
946	2086	116
947	2088	114
948	2089	112
949	2091	110
950	2092	107
951	2093	105
952	2095	103
953	2096	101
954	2097	98
955	2099	96
956	2100	94
957	2101	92
958	2102	89
959	2104	87
960	2105	85
961	2106	83
962	2108	81
963	2109	78
964	2111	76
965	2112	74
966	2113	72
967	2114	69
968	2116	67
969	2117	65
970	2118	63
971	2120	61
972	2121	58
973	2122	56
974	2124	54
975	2125	52
976	2126	50
977	2128	47
978	2129	45
979	2130	43
980	2132	41
981	2134	39
982	2135	36
983	2137	34
984	2138	32
985	2139	30
986	2141	28
987	2142	26
988	2143	23
989	2145	21
990	2146	19
991	2147	17
992	2149	15
993	2150	12
994	2151	10
995	2152	8
996	2154	6
997	2155	4
998	2156	2
999	2158	0
