Job_position,Company,Location,requirements,rating,experience,posting_frequency,avg_yearly_sal,net_experience,education_level,bachelor,masters,na,secondary,job_title,jr,na.1,senior,popular_profession,data scientist,deep learning,machine learning,na.2,software developer,software engineer,State, Andhra Pradesh, Bengaluru, Bihar, Chandigarh, Chennai, Chhattisgarh, Delhi, Goa, Gujarat, Haryana, Hyderabad, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Mumbai, Navi Mumbai, Orissa, Puducherry, Pune, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand, West Bengal,Andhra Pradesh,Delhi,Goa,Gujarat,India,Jharkhand,Karnataka,Kerala,Maharashtra,Meghalaya,Punjab,Remote,Tamil Nadu,job_openings,job_descr_len,python,stack,java,c,c++,cloud,asp,net,mvc,mobile,testing,sql,css,server,database,html,ui,system,php,flutter,angular,systems,ios,app,javascript,rest,api,js,react,structures,cleaning,algorithms,architecture,open,information,jquery,bootstrap,mysql,apis
na,F9DGO Technologies,"Noida, Uttar Pradesh",html,3.88,.Net: 3 yearsWork: 3 yearsTotal work: 3 years,1.0,300000.0,3,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
java,SDG Software India,"Noida, Uttar Pradesh",java,3.4,Java: 4 yearsBachelor's,1.0,600000.0,4,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Insisiv Labs,"Bengaluru, Karnataka",,3.9,Work: 3 yearsBachelor's,1.0,1955112.0,3,na,0,0,1,0,senior,0,0,1,machine learning,0,0,1,0,0,0, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,QuEST Global Engineering,"Hyderabad, Telangana",spark,3.3,na,1.0,700000.0,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Jarvis Technology And Strategy Consulting,"Delhi, Delhi",,3.88,na,1.0,240000.0,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Delhi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unity,WebCoir IT Solutions Pvt Ltd,"Noida, Uttar Pradesh",mobile,3.88,Software Development: 2 yearsCharacter and Motion Creation: 2 yearsUnity Game Development: 2 years,1.0,360000.0,2,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp ai,Qwerty Thoughts Media Pvt Ltd,"Urban Estate Gurgaon, Haryana",,0.0,na,1.0,12000.0,0,na,0,0,1,0,jr,1,0,0,machine learning,0,0,1,0,0,0, Haryana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,V2Solutions,"Navi Mumbai, Maharashtra",,3.7,na,1.0,240000.0,-99,na,0,0,1,0,jr,1,0,0,na,0,0,0,1,0,0, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
html,Professional Manpower Services,"Noida, Uttar Pradesh",javascript ruby,3.88,na,1.0,450000.0,2,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Société Générale,"Bengaluru, Karnataka",,3.9,na,1.0,1250000.0,-99,na,0,0,1,0,na,0,1,0,machine learning,0,0,1,0,0,0, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
