Job_position,Company,Location,requirements,posting_frequency,min_sal,max_sal,avg_yearly_sal,monthly_sal,job_title,jr,na,senior,State,job_openings,job_descr_len,redux,net,js,server,css,sql,angular,java,stack,testing,javascript,python,c++,ai,rest,app,react,nodejs,php,ui,database,mvc,ux,unity,html,mobile,mysql,flutter,graphic,apis,cloud,debugging,food,architecture,b2b,healthcare,security,pwas,version,typescript,ios,game,mongo,oops,restful,financial,jquery,iot,bootstrap,freelance,word,aws,git,ruby
c# sql angular,ATGBS,"Hyderabad, Telangana",na,1.0,500000.0,1000000.0,750000.0,62500.0,senior,0,0,1,Telangana,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
database sql,Progressive Cooperative Credit Society Limited,"Lucknow, Uttar Pradesh",testing database,1.0,240000.0,300000.0,270000.0,22500.0,senior,0,0,1,Uttar Pradesh,1,159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c#,Megna super It solutions private limited,"Madhapur, Hyderabad, Telangana",na,1.0,700000.0,700000.0,700000.0,58333.33333333334,na,0,1,0,Hyderabad,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Socort Siblings Technology Private Limited,Remote,mobile,1.0,48000.0,72000.0,60000.0,5000.0,na,0,1,0,Remote,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Google,"Bengaluru, Karnataka",na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,W3villa Technologies Pvt Ltd,"Kanpur, Uttar Pradesh",na,1.0,144000.0,420000.0,282000.0,23500.0,na,0,1,0,Uttar Pradesh,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,Vamstar,"Delhi, Delhi",b2b healthcare,1.0,700901.0,1000000.0,850450.5,70870.875,na,0,1,0,Delhi,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
js,Aapna Infotech Private Limited,"Delhi, Delhi",security security security,1.0,600000.0,1000000.0,800000.0,66666.66666666669,na,0,1,0,Delhi,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Arena Animation,"Pune, Maharashtra",na,1.0,97032.0,405816.0,251424.0,20952.0,na,0,1,0,Maharashtra,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Guzzbury Limited,"New Delhi, Delhi",na,1.0,180000.0,360000.0,270000.0,22500.0,na,0,1,0,Delhi,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Infinitevl Technologies Ltd.,"Manipala, Karnataka",na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,2,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freelance,GMV YOGA PVT LTD,"Faridabad, Haryana",na,1.0,180000.0,300000.0,240000.0,20000.0,na,0,1,0,Haryana,1,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Peppy Prints Private Limited,"Jaipur, Rajasthan",na,1.0,400000.0,400000.0,400000.0,33333.333333333336,na,0,1,0,Rajasthan,1,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,House Of Candy (Samkan Products Pvt. Ltd.),"Delhi, Delhi",na,1.0,300000.0,360000.0,330000.0,27500.0,na,0,1,0,Delhi,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,CONSIGN SPACE SOLUTIONS LLC,"Noida, Uttar Pradesh",java,1.0,1100000.0,1100000.0,1100000.0,91666.66666666669,na,0,1,0,Uttar Pradesh,1,155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Diptimate Consultants Private Limited,"Lucknow, Uttar Pradesh",na,1.0,120000.0,600000.0,360000.0,30000.0,na,0,1,0,Uttar Pradesh,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asp net,AceNet,"Delhi, Delhi",na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Delhi,1,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,KENZO.CO.IN,"Kompally, Hyderabad, Telangana",pwas angular version typescript,1.0,300000.0,420000.0,360000.0,30000.0,na,0,1,0,Hyderabad,1,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,SDS Softpro Private Limited,"Noida, Uttar Pradesh",mobile,1.0,274826.0,1095875.0,685350.5,57112.54166666666,na,0,1,0,Uttar Pradesh,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Techaffinity Consulting Pvt.Ltd.,"Bengaluru, Karnataka",na,1.0,300000.0,600000.0,450000.0,37500.0,na,0,1,0,Karnataka,1,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net,legatohealth.com,India,na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,India,2,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Revive Analytics,"Bhopal, Madhya Pradesh",na,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Madhya Pradesh,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,FCI CCM Incorporation,"Delhi, Delhi",na,1.0,180000.0,180000.0,180000.0,15000.0,na,0,1,0,Delhi,1,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Rayabhari Technologies Private Limited,"Bengaluru, Karnataka",react rest api rdbms,1.0,0.0,0.0,0.0,0.0,na,0,1,0,Karnataka,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,Saviant Technology Consulting,"Pune, Maharashtra",na,1.0,300000.0,450000.0,375000.0,31250.0,na,0,1,0,Maharashtra,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
